ID,Бренд,Наименование,Количество,Цена,Цена по акции
493260815,ШАТО ПИНО,"Вино Шато Пино Колдун белое сухое, 0.75л",1,1159,0
493260835,MANUEL QUINTANO,"Вино Manuel Quintano Sepas Viejas красное сухое, 0.75л",96,1919,1399
550291641,ESSE,"Вино Esse Rose розовое сухое, 0.75л",83,729,0
493271705,LAVIS,"Вино Lavis Pinot Grigio Rose розовое сухое, 0.75л",447,1269,0
493357505,ESSE,"Вино Esse Saperavi Heaven красное сухое, 0.75л",33,1249,0
557512258,CALALENTA,"Вино Calalenta Pecorino Fantini белое сухое, 0.75л",216,1469,0
595450737,CUVEE NOKAT,"Вино Cuvee Nokat Bordeaux красное сухое, 0.75л",161,1199,0
493357570,MANUEL QUINTANO,"Вино Manuel Quintano Blanco Sobre Lias белое сухое, 0.75л",231,1449,1099
485261881,CHATEAU CAVALIER,"Вино Chateau Cavalier Cuvee Marafiance Cotes de Provence AOP розовое сухое, 0.75л",114,1399,0
493271660,MANUEL QUINTANO,"Вино Manuel Quintano Seleccion Particular красное сухое, 0.75л",182,2499,1999
493271715,LAVIS,"Вино Lavis Lagrein красное сухое, 0.75л",230,1299,0
493260875,LAVIS,"Вино Lavis Pinot Grigio белое сухое, 0.75л",201,1269,0
557512273,RIPORTA,"Вино Riporta Primitivo di Manduria красное полусухое, 0.75л",338,1699,0
196365,VILLA ANTINORI,"Вино Villa Antinori Rosso красное сухое, 0.75л",49,3399,0
496004,CALVET,"Вино Calvet Reserve de l'Estey красное сухое, 0.75л",21,1799,0
210264,FRESCHELLO,"Вино Freschello Bianco белое полусухое, 0.75л",308,749,0
150793,CA'MARCANDA,"Вино Ca'Marcanda Gaja Magari красное сухое, 0.75л",3,13899,10499
538316,MUCHO MAS,"Вино Mucho Mas красное сухое, 0.75л",707,999,899.1
114518,PFEFFERER,"Вино Colterenzio Pfefferer белое полусухое, 0.75л",480,2099,0
367007,TORRES,"Вино Torres Salmos Priorat красное сухое, 0.75л",12,5299,3999
241545,CIELO,"Вино Cielo Freschello Bianco Sweet белое полусладкое, 0.75л",251,749,0
393282,LUIGI BOSCA,"Вино Luigi Bosca Malbec красное сухое, 0.75л",166,1999,1799.1
527431,ALAMOS,"Вино Alamos Malbec красное сухое, 1.5л",8,3999,3599.1
595563941,ЛЕФКАДИЯ,"Вино Лефкадия Совиньон Блан белое сухое, 0.75л",25,1649,0
576051,MUCHO MAS,"Вино Mucho Mas красное сухое, 3л",44,2999,2699.1
